Organization Name,Address,State,Latitude,Longitude,Hours,Phone,Privacy for Video Meetings,Printer,Reservation Type,Reserve Here
SoBar Recovery Community Center,"710 Chicago Dr Ste 200, Holland, MI, 49423",MI,42.7949158,-86.0753422,"Monday 8am - 9pm, Tuesday, Wednesday, and Thursday 8am - 8pm, Friday 7am - 10pm, Saturday 2pm - 8pm",(616) 377-5792,No,Yes,Walk-Ins Only,
Prairie Island Indian Community,"1960 Island Boulevard, Welch, MN , 55089",MN,44.6291786,-92.654849,"Monday - Friday, 9:00 a.m. - 4:00 p.m. ",(651) 385-4161,Yes,Yes,Reserve Online,
Perry Memorial Library,"22 S. E. 5th Avenue, Perryton, TX, 79070",TX,36.3951072,-100.8016734,"Monday and Thursday: 9:30am - 6:00pm; Tuesday, Wednesday and Friday: 9:30am - 5:30pm",(806) 435-5801,No,No,Walk-Ins Only,
Housing America,"130 N. State Avenue, Somerton, AZ, 85350",AZ,32.5971761,-114.7107436,"Monday - Thursday, 7:30 AM to 5:30 PM, Friday 8 AM to 12 PM",(928) 627-4221,Yes,Yes,Walk-Ins Only,
UpSide413,"1 Fenn Street, 4th Floor, Pittsfield, MA, 01201",MA,42.4502563,-73.2526239,"Tuesdays, Wednesdays, and Thursdays from 9:00am - 3:00pm",(413) 443-7138,No,Yes,Walk-Ins Only,
Norfolk Probate and Family Court,"35 Shawmut Road, Canton, MA, 02021",MA,42.1892677,-71.1526006,Monday - Friday 8:30am - 4:30pm,(781) 830-1200,No,,Walk-Ins Only,
Patrick Health Public Library,"451 N. Main St. Bldg. 100, Boerne, Texas, 78006",TX,29.7982012,-98.7319422,Monday - Thursday: 10:00am - 2:00pm,(830) 249-3053,Yes,No,Walk-Ins Only,
Tarrant County Domestic Relations Office,"200 Weatherford, Fort Worth, TX, 76196",TX,32.7564762,-97.3342536,Monday - Friday: 8:00am - 4:00pm,(817) 884-1742,Yes,Yes,Walk-Ins Only,
Nancy Carol Roberts Memorial Library,"100 Martin Luther King Jr. Pkwy., Brenham, TX, 77833",TX,30.1705795,-96.3994165,Monday - Thursday: 10:00am - 6:00pm; Friday: 10:00am - 5:00pm; Saturday: 10:00am - 1:00pm,(979) 337-7201,No,Yes,Walk-Ins Only,
Reeves County Library,"315 S. Oak St., Pecos, TX, 79772",TX,31.4249294,-103.4952982,Monday - Thursday: 10:00am - 7:00pm; Friday and Saturday: 10:00am - 5:00pm,(432) 755-0914,No,Yes,Walk-Ins Only,
Fort Stockton Public Library,"500 N. Water St., Fort Stockton, TX, 79735",TX,30.8896526,-102.877731,Monday - Friday: 9:00am - 6:00pm,(432) 336-3374,No,Yes,Walk-Ins Only,
Mt. Pleasant,"601 N Madison, Mt. Pleasant, TX, 75455",TX,33.161004,-94.970008,"Monday, Tuesday, and Friday: 9:00am - 6:00pm; Thursday: 9:00am - 6:00pm; Saturday: 10:00am - 1:00pm",(903) 575-4180,No,Yes,Walk-Ins Only,
